task_id,run_uuid,status,creation_time,param_angle_of_attack,param_beta,param_tip_twist,param_x_tip_scale,param_y_tip_scale,obj_lift_to_drag
doe-200_gan-1-19-19500,0198b5e3-1488-72f6-9169-17393e0a29c1,Finished,2025-08-17T02:36:54Z,13.86143539,0.05991609985,-5,0.8,0.8,6.355457008196906
doe-200_gan-1-19-19500,0198b5f0-1178-7dc6-a135-a26ac3edf4f4,Finished,2025-08-17T02:51:05Z,14.54951931,0.4676930462,-5,0.8,0.8,7.916541609140204
doe-200_gan-1-19-19500,0198b5f0-361b-7a4a-88a7-6f21466c6d20,Finished,2025-08-17T02:51:15Z,16.84860789,0.2408663602,-5,0.8,0.8,5.910257112314232
doe-200_gan-1-19-19500,0198b5f0-4e19-7e3c-be69-062c3a0ce01e,Finished,2025-08-17T02:51:21Z,15.46839922,0.6526953904,-5,0.8,0.8,7.4032006032961695
doe-200_gan-1-19-19500,0198b5f3-2f34-7673-b976-8f43349316f4,Finished,2025-08-17T02:54:30Z,16.06880665,0.1602292255,-5,0.8,0.8,5.921452282690382
doe-200_gan-1-19-19500,0198b5f6-35a5-766d-9d5e-99baa96800b4,Finished,2025-08-17T02:57:48Z,16.00312565,0.4629231414,-5,0.8,0.8,6.944199427187633
doe-200_gan-1-19-19500,0198b5fb-cd08-7e6e-acdc-db6072d16775,Finished,2025-08-17T03:03:54Z,14.47123305,0.8144745511,-5,0.8,0.8,7.6163463695999365
doe-200_gan-1-19-19500,0198b5ff-40ce-74c4-bfb2-bdf37ff8de2f,Finished,2025-08-17T03:07:41Z,16.79622787,0.2121779016,-5,0.8,0.8,5.856813176353646
doe-200_gan-1-19-19500,0198b609-73e8-73c3-85f6-f45e545147e7,Finished,2025-08-17T03:18:49Z,13.9559944,0.7042457935,-5,0.8,0.8,8.573365337384045
doe-200_gan-1-19-19500,0198b60a-731f-7a73-917d-9bc49f05f949,Finished,2025-08-17T03:19:54Z,15.57545058,0.3150721659,-5,0.8,0.8,6.839842093409197
doe-200_gan-1-19-19500,0198b60b-ed2e-71da-a5a2-0a91074c21a0,Finished,2025-08-17T03:21:31Z,16.50327914,0.547604792,-5,0.8,0.8,6.682625066315051
doe-200_gan-1-19-19500,0198b60e-57b2-7934-892e-9de88dc03097,Finished,2025-08-17T03:24:10Z,16.11330018,0.5138044335,-5,0.8,0.8,6.910892985303322
doe-200_gan-1-19-19500,0198b61a-e823-7c95-814e-eecc45161499,Finished,2025-08-17T03:37:53Z,13.24629443,0.2048313677,-5,0.8,0.8,7.609609772739653
doe-200_gan-1-19-19500,0198b61c-9c8e-7dbb-910d-5d8e586917e1,Finished,2025-08-17T03:39:45Z,14.99155058,0.8759270722,-5,0.8,0.8,6.847433787638236
doe-200_gan-1-19-19500,0198b61d-160d-7573-95d9-40c179764fae,Finished,2025-08-17T03:40:16Z,13.15085716,0.2777998422,-5,0.8,0.8,8.155874247914893
doe-200_gan-1-19-19500,0198b623-01da-7b2e-a985-18156d23105a,Finished,2025-08-17T03:46:44Z,14.21359405,0.2349750467,-5,0.8,0.8,7.199518726606066
doe-200_gan-1-19-19500,0198b623-88d6-7e5c-9285-dc929cd83d46,Finished,2025-08-17T03:47:18Z,16.75199752,0.2192158328,-5,0.8,0.8,5.8877705377198915
doe-200_gan-1-19-19500,0198b625-5cc6-7008-9f81-e9479ea10923,Finished,2025-08-17T03:49:18Z,13.0431832,0.4956291453,-5,0.8,0.8,9.189673679851493
doe-200_gan-1-19-19500,0198b626-bb26-76fd-88d3-aa9d1b1aef24,Finished,2025-08-17T03:50:48Z,15.18060277,0.4316043328,-5,0.8,0.8,7.378933264473354
